iter	RMSE
0	0.3947241622
1	0.3828609858
2	0.3719069714
3	0.3605603611
4	0.3502942225
5	0.3413219165
6	0.3322711685
7	0.3226875515
8	0.3142679283
9	0.3065997029
10	0.2993444911
11	0.2917678565
12	0.2846448224
13	0.2786233958
14	0.2721952092
15	0.266045906
16	0.2599338371
17	0.2554046112
18	0.2504360973
19	0.2452248087
20	0.2403880328
21	0.2358804442
22	0.2313927708
23	0.2275512722
24	0.2234345417
25	0.2193749646
26	0.2159995694
27	0.2126028666
28	0.2093715258
29	0.2064524564
30	0.2035631688
31	0.2005814526
32	0.1977738246
33	0.1951889635
34	0.1927255092
35	0.1904712112
36	0.1878936444
37	0.1858016802
38	0.1835796891
39	0.1813724892
40	0.1795518994
41	0.1776819432
42	0.1757379236
43	0.1738382301
44	0.172098242
45	0.1703205336
46	0.1686372364
47	0.1671124119
48	0.1656919517
49	0.1641707618
50	0.1628009072
51	0.1615219355
52	0.1604680636
53	0.1594653188
54	0.1584170775
55	0.1573508545
56	0.1561537235
57	0.155069591
58	0.1541846187
59	0.1532867175
60	0.1522393959
61	0.1513713788
62	0.1504902438
63	0.1494992406
64	0.1486616378
65	0.147788155
66	0.1469968969
67	0.1462979469
68	0.1455659884
69	0.1448687414
70	0.1440761111
71	0.1433815135
72	0.1427098006
73	0.142019938
74	0.1415093898
75	0.1409303509
76	0.1404037583
77	0.1398826556
78	0.1392574439
79	0.1386363742
80	0.1381294129
81	0.1376268818
82	0.1371351257
83	0.1366933128
84	0.1362556432
85	0.1357797643
86	0.1354459744
87	0.1350104554
88	0.1345930908
89	0.134061324
90	0.1336227976
91	0.1333654486
92	0.1330224445
93	0.1327003219
94	0.1324019177
95	0.1319601618
96	0.1316707723
97	0.1312438294
98	0.1309640546
99	0.1306068165
100	0.1302208668
101	0.1299479727
102	0.1296600383
103	0.1294092887
104	0.1290647816
105	0.1286422233
106	0.1282358503
107	0.128007439
108	0.1277255543
109	0.1274612701
110	0.1271223975
111	0.12693054
112	0.1267576694
113	0.1264635017
114	0.1261788838
115	0.1258570445
116	0.125447499
117	0.125216289
118	0.1250046058
119	0.1246942935
